id,age,income,children,income_zscore,gender=FEMALE,gender=MALE,region=INNER_CITY,region=RURAL,region=SUBURBAN,region=TOWN,married=NO,married=YES,car=NO,car=YES,savings_acct=NO,savings_acct=YES,current_acct=NO,current_acct=YES,mortgage=NO,mortgage=YES,pep=NO,pep=YES,age_cat=mid-age,age_cat=old,age_cat=young
ID12112,0.6938775510204082,0.3724384157241677,0.0,-0.0671309180136171,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False
ID12113,0.5306122448979592,0.18448637713368926,0.3333333333333333,-0.9146165419000175,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False
ID12114,0.9795918367346939,0.8636276584596743,0.3333333333333333,2.1476672025483894,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
ID12115,0.3673469387755102,0.24881990106320317,0.0,-0.6245333000629331,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False
ID12116,0.40816326530612246,0.29816096768026784,0.0,-0.40205183650033555,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False
ID12117,0.3877551020408163,0.21879713104281806,0.6666666666666666,-0.759907548580464,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False
ID12118,0.5714285714285714,0.6194827266690746,0.0,1.046804868790542,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False
ID12119,0.8979591836734694,0.3767470480104495,0.0,-0.04770306850147246,True,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False
ID12120,0.2653061224489796,0.30127027220954544,0.0,-0.38803181890111615,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12121,0.8775510204081632,0.9096735849696185,0.6666666666666666,2.3552907061206687,False,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False
ID12122,0.6530612244897959,0.1975895060714032,0.6666666666666666,-0.8555338446017026,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False
ID12123,0.7346938775510204,0.5752710661404308,0.0,0.8474521669674422,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False
ID12124,0.1836734693877551,0.18109659853785257,0.0,-0.9299012318117287,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True
ID12125,0.08163265306122448,0.1312221149843872,0.6666666666666666,-1.1547879003858137,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12126,0.7755102040816326,0.6197924526321459,0.0,1.0482014394423733,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
ID12127,0.5510204081632653,0.27179296402412495,0.0,-0.520946551326255,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False
ID12128,0.42857142857142855,0.25982205555141635,0.3333333333333333,-0.5749240070195416,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False
ID12129,0.42857142857142855,0.4189024722842582,1.0,0.1423779559386347,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False
ID12130,0.8775510204081632,0.33133605972480157,0.3333333333333333,-0.2524636022374975,False,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False
ID12131,0.8775510204081632,0.30849893204767237,0.6666666666666666,-0.35543741163253806,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False
ID12132,0.04081632653061224,0.19463850592325094,0.6666666666666666,-0.8688400594233192,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True
ID12133,0.5510204081632653,0.3171075931212617,0.3333333333333333,-0.31662050623746657,False,True,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
ID12134,0.30612244897959184,0.42857624653085413,1.0,0.18599751263083786,True,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True
ID12135,0.5102040816326531,0.5593597551375364,0.0,0.7757072290925221,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False
ID12136,0.1836734693877551,0.25558913405610756,0.6666666666666666,-0.5940104725945717,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12137,0.02040816326530612,0.10218874734603565,1.0,-1.2857008815433275,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12138,0.3673469387755102,0.14396733836477427,0.0,-1.0973190180629486,True,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
ID12139,0.5102040816326531,0.23212395095386132,0.0,-0.6998162169224931,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12140,0.9795918367346939,0.3506319872241482,0.6666666666666666,-0.16545725062839645,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False
ID12141,0.7551020408163265,0.3744241032874142,0.0,-0.05817734839020853,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False
ID12142,0.5918367346938775,0.37749383172141043,0.0,-0.04433578148539007,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False
ID12143,1.0,0.8724342000096703,0.6666666666666666,2.1873763614154647,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False
ID12144,0.2857142857142857,0.38814324275168116,0.0,0.003682972760082274,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True
ID12145,0.04081632653061224,0.15014465062825333,0.6666666666666666,-1.069465192284754,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True
ID12146,0.9387755102040817,0.8200234049586094,0.6666666666666666,1.9510533309480482,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
ID12147,0.6530612244897959,0.14229653886398366,0.3333333333333333,-1.104852740856995,True,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False
ID12148,0.22448979591836735,0.13924573812773064,0.6666666666666666,-1.118608961777535,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True
ID12149,0.6938775510204082,0.5942194122812196,0.6666666666666666,0.9328912559561547,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
ID12150,0.5918367346938775,0.2211630932607244,0.6666666666666666,-0.7492393005456403,True,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False
ID12151,0.12244897959183673,0.1599474773594623,0.6666666666666666,-1.0252637311542878,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True
ID12152,0.3673469387755102,0.3248782733947635,0.0,-0.2815821003281837,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False
ID12153,0.5102040816326531,0.1935011233588611,0.3333333333333333,-0.873968577205878,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False
ID12154,0.6122448979591837,0.42638751639181643,0.3333333333333333,0.17612841335789536,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False
ID12155,0.9183673469387755,0.8918092796995796,0.0,2.2747396144133667,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False
ID12156,0.6938775510204082,0.7368310112776386,1.0,1.5759344538661142,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False
ID12157,0.8163265306122449,0.3435082900735066,0.0,-0.19757837562052039,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False
ID12158,0.20408163265306123,0.3116306056742829,0.0,-0.3413165305973531,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True
ID12159,0.22448979591836735,0.17429983434823076,0.0,-0.9605481988935861,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True
ID12160,0.32653061224489793,0.34964774694149914,0.3333333333333333,-0.16989524181088317,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True
ID12161,0.4897959183673469,0.3398225511129572,0.3333333333333333,-0.214197566377315,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False
ID12162,0.9591836734693877,0.5433073467514651,0.3333333333333333,0.703326075698434,True,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False
ID12163,0.5918367346938775,0.3786983215777991,0.6666666666666666,-0.038904673394934336,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False
ID12164,0.04081632653061224,0.11504925761267701,0.0,-1.2277121645889473,False,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True
ID12165,0.061224489795918366,0.0,0.0,-1.7464753160650082,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True
ID12166,0.4897959183673469,0.2129519138397433,0.0,-0.7862639402708614,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False
ID12167,0.02040816326530612,0.10060570353478197,0.6666666666666666,-1.292838909319355,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12168,0.46938775510204084,0.5141225575311675,0.0,0.5717303266666915,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False
ID12169,0.24489795918367346,0.2475896007098919,0.6666666666666666,-0.6300807890410415,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12170,0.2653061224489796,0.09339425069460348,0.6666666666666666,-1.3253557293294982,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True
ID12171,0.14285714285714285,0.15573520426169157,1.0,-1.044257092019196,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12172,0.061224489795918366,0.05245587738568573,0.0,-1.509949006980492,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True
ID12173,0.3673469387755102,0.4640347072031419,1.0,0.34588157608801134,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
ID12174,0.8163265306122449,0.31287983372533745,0.6666666666666666,-0.3356836956349663,True,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False
ID12175,0.9387755102040817,0.820081908751634,0.6666666666666666,1.9513171276267276,True,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False
ID12176,0.8367346938775511,0.5264702992589463,0.6666666666666666,0.6274069433197063,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False
ID12177,0.5510204081632653,0.3774146795308478,0.0,-0.044692682874191335,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False
ID12178,0.8775510204081632,0.7647218342522156,0.3333333333333333,1.7016956410635382,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
ID12179,0.24489795918367346,0.16708494010846262,0.0,-0.9930805363554159,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True
ID12180,0.8163265306122449,0.5077903822861528,0.6666666666666666,0.5431782155625814,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False
ID12181,0.6530612244897959,0.293170938275229,1.0,-0.4245521414465093,True,False,False,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False
ID12182,0.24489795918367346,0.39221441846627486,1.0,0.022040118105822556,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True
ID12183,0.22448979591836735,0.13038069278470998,0.3333333333333333,-1.1585819173232892,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12184,0.3469387755102041,0.1958189059825119,0.3333333333333333,-0.8635175734946724,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True
ID12185,0.8979591836734694,0.32713755222538965,0.0,-0.27139489329565747,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False
ID12186,0.3673469387755102,0.4588915355163622,0.3333333333333333,0.3226907445417652,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
ID12187,0.14285714285714285,0.1808591419661645,0.0,-0.9309719359781328,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12188,0.9795918367346939,0.30194822792871284,0.0,-0.3849748809187738,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False
ID12189,0.24489795918367346,0.18642904720206474,0.0,-0.9058569404226967,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True
ID12190,0.7346938775510204,0.4487824242216715,0.6666666666666666,0.27710823021115455,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False
ID12191,0.3877551020408163,0.3407035494079158,0.3333333333333333,-0.21022509874543874,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False
ID12192,0.20408163265306123,0.3512824117465981,0.6666666666666666,-0.1625244522595504,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
ID12193,0.7142857142857143,0.5136682927853294,0.0,0.5696820230440053,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False
ID12194,0.8775510204081632,0.6463789851622336,0.6666666666666666,1.1680815124504185,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False
ID12195,0.8775510204081632,0.6213995862405274,0.0,1.05544808938021,True,False,True,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True,False
ID12196,0.0,0.0856203010914915,0.0,-1.3604088768178837,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12197,0.08163265306122448,0.050492386849792716,0.3333333333333333,-1.5188024890405192,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True
ID12198,0.32653061224489793,0.44491429108286906,0.6666666666666666,0.25966661451494816,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
ID12199,0.3469387755102041,0.12236911453993046,0.6666666666666666,-1.1947065448506635,True,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12200,0.0,0.17782898962744956,0.0,-0.9446350521885507,True,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True
ID12201,0.7346938775510204,0.37328327932343464,0.3333333333333333,-0.06332138362445441,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False
ID12202,0.1836734693877551,0.11339738580962969,0.6666666666666666,-1.2351605413987152,True,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12203,0.4897959183673469,0.1804272463176594,0.0,-0.9329193761648533,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False
ID12204,0.5102040816326531,0.48307425043305713,0.0,0.43173187754642955,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False
ID12205,0.9387755102040817,0.5075959432093357,0.3333333333333333,0.5423014795422647,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False
ID12206,0.5102040816326531,0.4711498008548093,1.0,0.37796390745091774,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12207,0.6326530612244898,0.7161344341452914,0.0,1.4826124994203973,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False
ID12208,0.10204081632653061,0.13809803136457172,0.0,-1.123784031915155,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True
ID12209,0.10204081632653061,0.13193792609904106,0.0,-1.1515602704349144,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True
ID12210,0.24489795918367346,0.3272304700143111,0.6666666666666666,-0.2709759221001079,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True
ID12211,0.3673469387755102,0.5560663357302108,0.6666666666666666,0.7608570278280473,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False
ID12212,0.32653061224489793,0.34962881924375594,1.0,-0.16998058779516165,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True
ID12213,0.673469387755102,0.5520003221150016,0.0,0.7425231586598372,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False
ID12214,0.3673469387755102,0.49240216402089,0.6666666666666666,0.47379193034408734,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False
ID12215,0.7755102040816326,0.6575480475305463,0.3333333333333333,1.21844340190063,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False
ID12216,0.7346938775510204,0.7361599383576506,0.0,1.572908550787146,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False
ID12217,0.7755102040816326,0.28763372633543083,0.6666666666666666,-0.4495197212109186,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False
ID12218,0.16326530612244897,0.08654930691072614,1.0,-1.3562199407349733,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True
ID12219,0.42857142857142855,0.21088707408593416,0.0,-0.7955744112830713,False,True,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False
ID12220,0.9387755102040817,0.7011987599260718,1.0,1.4152667590987462,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False
ID12221,0.5714285714285714,0.4217657167428736,0.6666666666666666,0.15528847574223245,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False
ID12222,0.8979591836734694,0.8577617928590615,0.3333333333333333,2.1212177061478705,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False
ID12223,0.3673469387755102,0.2716088491460769,0.3333333333333333,-0.5217767349915104,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False
ID12224,0.3469387755102041,0.48203838915656294,0.3333333333333333,0.4270611245886378,True,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True
ID12225,0.5918367346938775,0.6885843097300928,1.0,1.3583875399399878,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False
ID12226,0.5918367346938775,0.5849792543829235,0.6666666666666666,0.8912268981765158,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False
ID12227,0.3877551020408163,0.348329690898651,0.0,-0.17583842580701034,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12228,0.6122448979591837,0.6468057187113542,0.0,1.1700056764596087,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False
ID12229,0.46938775510204084,0.15621355880465743,1.0,-1.0421001662347007,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12230,0.1836734693877551,0.2810950671150352,0.0,-0.47900287941624975,True,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True
ID12231,0.5102040816326531,0.3137212559250147,0.6666666666666666,-0.3318896786974907,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False
ID12232,0.8775510204081632,0.6296950799514557,1.0,1.0928529066717632,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False
ID12233,0.6938775510204082,0.20135439722251522,0.6666666666666666,-0.8385577524561068,True,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12234,0.9387755102040817,0.5406815588645378,0.0,0.6914862600612406,True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,False
ID12235,0.9795918367346939,0.9376022633396822,0.6666666666666666,2.4812225852866505,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
ID12236,0.7142857142857143,0.45289833813093117,0.3333333333333333,0.2956671024288262,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
ID12237,0.04081632653061224,0.155459892294517,0.6666666666666666,-1.0454984881541574,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True
ID12238,0.7959183673469388,0.5883260154838893,0.0,0.9063176199421392,True,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False
ID12239,0.9591836734693877,0.6394067095935381,0.0,1.1366431553325234,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False
ID12240,0.9387755102040817,0.8646308264400666,0.3333333333333333,2.152190539715155,True,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False
ID12241,0.6938775510204082,0.55201752911295,1.0,0.7426007459182723,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False
ID12242,0.5918367346938775,0.3058920718584883,0.0,-0.367191881285453,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False
ID12243,0.20408163265306123,0.21037946764645607,0.3333333333333333,-0.7978632354069062,True,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True
ID12244,0.9387755102040817,0.7564297819408772,0.0,1.6643063412236725,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
ID12245,0.14285714285714285,0.23932852099486046,0.3333333333333333,-0.6673304318157242,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True
ID12246,0.8163265306122449,0.7947910631670615,0.0,1.8372793751788439,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False
ID12247,0.32653061224489793,0.26192475070071203,0.6666666666666666,-0.5654428440387745,False,True,False,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True
ID12248,0.04081632653061224,0.23824964222349515,0.6666666666666666,-0.6721951529196039,True,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True
ID12249,0.9183673469387755,0.35649957352455586,0.0,-0.13899999550203349,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True,False
ID12250,0.24489795918367346,0.3996530036793724,1.0,0.05558108992730872,True,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12251,0.7142857142857143,0.3988477161753868,0.3333333333333333,0.051950006232546656,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
ID12252,0.5102040816326531,0.5406196136719236,0.6666666666666666,0.6912069459308744,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
ID12253,0.9183673469387755,0.8535460783617012,0.6666666666666666,2.102208827831275,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False
ID12254,0.30612244897959184,0.3397795336180862,0.3333333333333333,-0.2143915345234027,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True
ID12255,0.46938775510204084,0.31560886359995516,0.6666666666666666,-0.3233783564471624,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False
ID12256,0.04081632653061224,0.05384998835946589,0.6666666666666666,-1.5036628873020816,True,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True
ID12257,0.6530612244897959,0.3690606820268949,0.0,-0.08236129684442364,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
ID12258,0.12244897959183673,0.26590128792658946,0.6666666666666666,-0.5475124286144272,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12259,0.8571428571428571,0.28377763809519224,0.0,-0.4669070258262204,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False
ID12260,0.5306122448979592,0.17725083449638301,0.3333333333333333,-0.9472419840719695,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False
ID12261,0.10204081632653061,0.2385146299919007,0.6666666666666666,-0.6710003091397035,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True
ID12262,0.4489795918367347,0.13701915259320646,0.0,-1.1286487530190346,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False
ID12263,0.6326530612244898,0.27005161583174586,1.0,-0.5287983818798854,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False
ID12264,0.061224489795918366,0.04362266498886966,0.3333333333333333,-1.549778426098141,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True
ID12265,0.4489795918367347,0.3422435757242985,0.0,-0.20328103911549888,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False
ID12266,0.16326530612244897,0.32792391203163196,0.3333333333333333,-0.2678491555851742,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True
ID12267,0.04081632653061224,0.07873406051253797,0.3333333333333333,-1.3914592976436035,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
ID12268,0.12244897959183673,0.06106161326962386,0.3333333333333333,-1.4711452914193544,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True
